Name;Initial Value;Predicted Value
tensor(0);0.1;0.0943229
tensor(1);0.2;0.198731
tensor(2);0.2;0.16147
tensor(3);0.1;0.098291
tensor(4);0.2;0.150637
tensor(5);0.2;0.199344
tensor(6);0.2;0.185903
tensor(7);0.1;0.0725118
tensor(8);0.1;0.10799
tensor(9);0.1;0.156663
tensor(10);0.1;0.123651
tensor(11);0.2;0.111263
tensor(12);0.1;0.0570758
tensor(13);0.1;0.153722
tensor(14);0.1;0.100183
tensor(15);0.1;0.145875
tensor(16);0.1;0.0360409
tensor(17);0.2;0.189539
tensor(18);0.2;0.27235
tensor(19);0.1;0.158603
tensor(20);0.1;0.0830645
tensor(21);0.2;0.152199
tensor(22);0.2;0.195596
tensor(23);0.1;0.10531
tensor(24);0.2;0.179919
tensor(25);0.1;0.119919
tensor(26);0.1;0.14884
tensor(27);0.1;0.148788
tensor(28);0.1;0.183397
tensor(29);0.1;0.0861957
tensor(30);0.1;0.118
tensor(31);0.1;0.0459358
tensor(32);0.1;0.0863411
tensor(33);0.1;0.114489
tensor(34);0.1;0.165864
tensor(35);0.2;0.158836
tensor(36);0.1;0.131709
tensor(37);0.2;0.145411
tensor(38);0.1;0.137782
tensor(39);0.2;0.21721
tensor(40);0.1;0.0524698
tensor(41);0.2;0.222965
tensor(42);0.2;0.165314
tensor(43);0.2;0.162607
tensor(44);0.1;0.0990628
tensor(45);0.2;0.145867
tensor(46);0.2;0.181271
tensor(47);0.1;0.111472
tensor(48);0.2;0.19058
tensor(49);0.1;0.182095
tensor(50);0.1;0.173886
tensor(51);0.1;0.110474
tensor(52);0.2;0.179081
tensor(53);0.1;0.0851411
tensor(54);0.2;0.158446
tensor(55);0.2;0.147265
tensor(56);0.1;0.129204
tensor(57);0.2;0.188168
tensor(58);0.2;0.171269
tensor(59);0.1;0.0788259
tensor(60);0.1;0.113514
tensor(61);0.1;0.183786
tensor(62);0.1;0.12483
tensor(63);0.2;0.10457
tensor(64);0.1;0.126278
tensor(65);0.2;0.206212
tensor(66);0.2;0.140906
tensor(67);0.1;0.120331
tensor(68);0.1;0.158484
tensor(69);0.2;0.151486
tensor(70);0.1;0.132882
tensor(71);0.1;0.0881489
tensor(72);0.1;0.108644
tensor(73);0.2;0.151456
tensor(74);0.2;0.192043
tensor(75);0.2;0.196819
tensor(76);0.1;0.0846041
tensor(77);0.1;0.0962189
tensor(78);0.1;0.235197
tensor(79);0.1;0.145787
tensor(80);0.2;0.269334
tensor(81);0.1;0.110264
tensor(82);0.1;0.128583
tensor(83);0.2;0.0932293
tensor(84);0.2;0.18707
tensor(85);0.2;0.165149
tensor(86);0.1;0.091927
tensor(87);0.2;0.19477
tensor(88);0.2;0.251286
tensor(89);0.2;0.20861
tensor(90);0.2;0.0703226
tensor(91);0.1;0.124996
tensor(92);0.1;0.0850283
tensor(93);0.2;0.173609
tensor(94);0.2;0.199726
tensor(95);0.1;0.0725041
tensor(96);0.2;0.1472
tensor(97);0.1;0.0511734
tensor(98);0.2;0.243126
tensor(99);0.2;0.149058
