Features;Features;Mean
Current ICU Situation;Current ICU Situation;1.0
Age;Age;0.5157104925
Mechanical Assistance Bridge Date;Mechanical Assistance Bridge Date;0.48865929750000003
New Valvulopathy;New Valvulopathy;0.483155235
Mechanical Assistance Bridge;Mechanical Assistance Bridge;0.47595546750000006
Technique_11.0;Technique_11.0;0.47507986
Hemodialysis DP;Hemodialysis DP;0.47308051000000007
New Valvulopathy Date;New Valvulopathy Date;0.47259306
Previous Structural Intervention;Previous Structural Intervention;0.4716230475
New BE MCP;New BE MCP;0.46953975000000003
New BE MCP Date;New BE MCP Date;0.46953975000000003
Previous Structural Intervention Date;Previous Structural Intervention Date;0.459150395
Technique_2.0;Technique_2.0;0.45854020500000003
Peritoneal Dialysis DP;Peritoneal Dialysis DP;0.4548897975
New Dialysis Hemodialysis;New Dialysis Hemodialysis;0.4540646475
Previous Coronary Intervention Date;Previous Coronary Intervention Date;0.4512047025
New Dialysis Peritoneal;New Dialysis Peritoneal;0.421669825
New Dialysis Start Date;New Dialysis Start Date;0.4206988825
Mechanical Assistance Destination Date;Mechanical Assistance Destination Date;0.41510830249999997
Mechanical Assistance;Mechanical Assistance;0.41037661999999997
New Dialysis;New Dialysis;0.40806138249999996
Mechanical Assistance Destination;Mechanical Assistance Destination;0.4073679975
Previous Dialysis Date;Previous Dialysis Date;0.40618268
Race_31;Race_31;0.392446285
Evolution Time;Evolution Time;0.36080373000000004
Previous Coronary Intervention;Previous Coronary Intervention;0.35378176749999996
Previous CT Date;Previous CT Date;0.3528869725
Previous CT;Previous CT;0.34966691
Previous Dialysis;Previous Dialysis;0.3463849775
Previous Admissions;Previous Admissions;0.33719243250000003
New MI Date;New MI Date;0.31388031499999997
Neoplasia;Neoplasia;0.28474148499999996
New Coronary Surgery Date;New Coronary Surgery Date;0.2745233275
Coronary Surgery;Coronary Surgery;0.27426129250000003
Race_14;Race_14;0.26978278625
New MI;New MI;0.263389635
New IVP Date;New IVP Date;0.25431813000000003
New Other Surgery Date;New Other Surgery Date;0.254103035
New Conventional MCP Date;New Conventional MCP Date;0.2342587575
Other Surgery;Other Surgery;0.23335964250000002
Previous Surgery Date;Previous Surgery Date;0.2331228025
Diabetes M;Diabetes M;0.230770105
Valvular Percutaneous Intervention;Valvular Percutaneous Intervention;0.228862505
Previous Resynchronization Date;Previous Resynchronization Date;0.2227340025
First MI Date;First MI Date;0.2173889625
Aortic;Aortic;0.21397907075
Race_12;Race_12;0.204521065
New Diabetes Date;New Diabetes Date;0.196848895
Alcoholism;Alcoholism;0.19487527375
Caregiver Type;Caregiver Type;0.18390869625
HTN;HTN;0.17877376749999999
Family Situation;Family Situation;0.178740595
Procedure Centre;Procedure Centre;0.17624422
Height;Height;0.16821993100000002
Tricuspid;Tricuspid;0.16751045000000003
Valvulopathy;Valvulopathy;0.16211255625
Schooling Level;Schooling Level;0.1615494925
Ischemic C;Ischemic C;0.16087207750000002
Transplantation Date;Transplantation Date;0.1593594625
Smoking;Smoking;0.1564320875
Hypercholesterolemia;Hypercholesterolemia;0.15620013250000003
Previous Conventional MCP Date;Previous Conventional MCP Date;0.15572634824999998
Technique_4.0;Technique_4.0;0.1539598835
OSA;OSA;0.1537559375
Transplantation;Transplantation;0.15168206
COPD;COPD;0.15041279749999997
Valvular Surgery;Valvular Surgery;0.1463800725
Peripheral Vascular Disease;Peripheral Vascular Disease;0.1457866675
Caregiver;Caregiver;0.143835725
New Diabetes;New Diabetes;0.14200473625
Technique_3.0;Technique_3.0;0.136042029
Mitral;Mitral;0.1290720285
Conventional Pacemaker;Conventional Pacemaker;0.1271471475
CardioMEMS Date;CardioMEMS Date;0.12410475874999999
Race_13;Race_13;0.118895762
Race_32;Race_32;0.11651128025000002
Race_2;Race_2;0.1164373525
Previous Surgery;Previous Surgery;0.11561209
Race_11;Race_11;0.1144688125
Previous ICD;Previous ICD;0.1137961375
Ex-Smoking;Ex-Smoking;0.112323776
Percutaneous Intervention;Percutaneous Intervention;0.11017214750000001
New Valvular Surgery Date;New Valvular Surgery Date;0.10694149975
EF;EF;0.10533763000000002
Etiology;Etiology;0.1026836505
New Resynchronization;New Resynchronization;0.10163394725
New Resynchronization Date;New Resynchronization Date;0.09969859425
Previous MCP;Previous MCP;0.09781536625000001
New PCI Date;New PCI Date;0.09305895324999999
CardioMEMS;CardioMEMS;0.09029162025
Previous MI;Previous MI;0.0898059005
New ICD Date;New ICD Date;0.0857617635
Previous Resynchronization;Previous Resynchronization;0.0838054555
Ex-Alcoholism;Ex-Alcoholism;0.08271889674999999
New ICD;New ICD;0.0819483265
Previous ICD Date;Previous ICD Date;0.078070201
Gender_D;Gender_D;0.07457987475
Gender_H;Gender_H;0.073465384
