Class1;Class1.1;Class1.2;Class1.3;Class1
topGenes;topGenes;Weights;Weights;Weights
N INGRESSOS PREVIS;N INGRESSOS PREVIS;1.0;0.0;1.0
UFISS_1;UFISS_1;0.2365483618265312;0.0;0.0
ISQUEMIA_PROVOCABLE_RM;ISQUEMIA_PROVOCABLE_RM;0.0;0.0;0.0
PAP_91;PAP_91;0.0;0.0;0.0
TEMPS EVOL;TEMPS EVOL;0.0;0.41129395303879696;0.0
ALTRES IECAS;ALTRES IECAS;0.0;0.0;0.0
ETIOLOGIA;ETIOLOGIA;0.0;0.0;0.0
FE;FE;0.0;0.0;0.0
C-ISQUEMICA;C-ISQUEMICA;0.0;0.0;0.0
IAM PREVI;IAM PREVI;0.0;0.0;0.0
NOU IAM;NOU IAM;0.0;0.0;0.0
DATA NOU IAM;DATA NOU IAM;0.0;0.0;0.0
HTA;HTA;0.0;0.0;0.0
DIABETES M;DIABETES M;0.0;0.0;0.0
NOVA DIABETIS;NOVA DIABETIS;0.0;0.0;0.0
DATA NOVA DIABETIS;DATA NOVA DIABETIS;0.0;0.0;0.0
HIPERCOLEST;HIPERCOLEST;0.0;0.0;0.0
ENOLISME;ENOLISME;0.0;0.0;0.0
EX-ENOLISME;EX-ENOLISME;0.0;0.0;0.0
VALVULOPATIA;VALVULOPATIA;0.0;0.0;0.0
Mitral;Mitral;0.0;0.0;0.0
AÃ²rtica;AÃ²rtica;0.0;0.0;0.0
TricÃºspide;TricÃºspide;0.0;0.0;0.0
Pulmonar;Pulmonar;0.0;0.0;0.0
NOVA VALVULOPATIA;NOVA VALVULOPATIA;0.0;0.0;0.0
DATA NOVA VALVULOPATIA;DATA NOVA VALVULOPATIA;0.0;0.0;0.0
CIRURGIA PRÃVIA;CIRURGIA PRÃVIA;0.0;0.0;0.0
INTERVENCIONISME_CORO_PREVI;INTERVENCIONISME_CORO_PREVI;0.0;0.0;0.0
INTERVENCIONISME_ESTRUC_PREVI;INTERVENCIONISME_ESTRUC_PREVI;0.0;0.0;0.0
MCP PREVI;MCP PREVI;0.0;0.13771448725896138;0.25892368586476106
DAI PREVI;DAI PREVI;0.0;0.0;0.0
SAOS;SAOS;0.0;1.0;0.0
TABAQUISME;TABAQUISME;0.0;0.0;0.0
EX-TABAQUISME;EX-TABAQUISME;0.0;0.0;0.0
MPOC;MPOC;0.0;0.39260760519390203;0.0
VASCULOPATIA PERIFÃRICA;VASCULOPATIA PERIFÃRICA;0.0;0.0;0.0
RESINCRONITZACIÃ PREVIA;RESINCRONITZACIÃ PREVIA;0.0;0.0;0.0
EXITUS;EXITUS;0.0;0.0;0.0
DATA D'EXITUS;DATA D'EXITUS;0.0;0.0;0.0
DIÃLISI Previa;DIÃLISI Previa;0.0;0.0;0.0
DATA DIÃLISI PREVIA;DATA DIÃLISI PREVIA;0.0;0.0;0.0
DP_HEMOD;DP_HEMOD;0.0;0.0;0.0
DP_PERIT;DP_PERIT;0.0;0.0;0.0
SEROTECA-1;SEROTECA-1;0.0;0.0;0.0
Data seroteca-1;Data seroteca-1;0.0;0.0;0.0
SEROTECA-2;SEROTECA-2;0.0;0.0;0.0
Data seroteca-2;Data seroteca-2;0.0;0.0;0.0
SEROTECA-3;SEROTECA-3;0.0;0.0;0.0
Data seroteca-3;Data seroteca-3;0.0;0.0;0.0
CIRURGIA CORONARIA;CIRURGIA CORONARIA;0.0;0.0;0.0
CIRURGIA VALVULAR;CIRURGIA VALVULAR;0.0;0.0;0.0
ALTRA CIRURGIA;ALTRA CIRURGIA;0.0;0.0;0.0
INTERVENCIONISME PERCUTÃNI;INTERVENCIONISME PERCUTÃNI;0.0;0.0;0.0
DAI nou;DAI nou;0.0;0.0;0.0
RESINCRONITZACIÃ nova;RESINCRONITZACIÃ nova;0.0;0.0;0.0
MARCAPAS CONVENCIONAL;MARCAPAS CONVENCIONAL;0.0;0.0;0.0
Data cirurgia coronÃ ria Nova;Data cirurgia coronÃ ria Nova;0.0;0.0;0.0
Data cirurgia valvular Nova;Data cirurgia valvular Nova;0.0;0.0;0.0
Data cirurgia PrÃ¨via;Data cirurgia PrÃ¨via;0.0;0.0;0.0
Data ICP Nova;Data ICP Nova;0.0;0.0;0.0
Data DAI Nou;Data DAI Nou;0.0;0.0;0.0
Data ResincronitzaciÃ³ Previa;Data ResincronitzaciÃ³ Previa;0.0;0.0;0.0
Data ResincronitzaciÃ³ Nova;Data ResincronitzaciÃ³ Nova;0.0;0.0;0.0
Data MCP convencional Previ;Data MCP convencional Previ;0.0;0.0;0.0
